Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-11-14 04:32:20,0.0,0.0,4.18666,-0.04087,8.93848,-0.0,0.0,0.0,1.0032437085727406,0
2018-11-14 04:32:21,0.0083833333335254,0.5030000000115251,4.18346,-0.08428,8.93848,-1e-05,2.8611111111887213e-05,-1.1414963889123866e-05,0.9999964795742496,1
2018-11-14 04:32:22,0.0250166666667306,1.5010000000038417,4.16694,-0.40865,8.93848,-8e-05,2.6666666664014983e-05,-8.322426111063401e-05,0.9999693444538496,2
2018-11-14 04:32:23,0.0433666666668917,2.602000000013504,4.17351,-0.24519,8.93848,-0.00018,2.8611111111887213e-05,-0.0001797144250003,0.9999328829883308,3
2018-11-14 04:32:24,0.0583333333333333,3.5,4.19557,0.20688,8.93848,-0.00017,2.8055555554197377e-05,-0.000170639372222,0.9999361171428516,4
2018-11-14 04:32:25,0.0750666666666802,4.504000000000815,4.19995,0.25286,8.93848,-0.0001,2.8888888886689933e-05,-0.0001024417666666,0.9999614365632152,5
2018-11-14 04:32:26,0.0933666666668917,5.602000000013504,4.19995,0.23498,8.93848,-3e-05,2.8611111111887213e-05,-2.7373377776990138e-05,0.9999893068686144,6
2018-11-14 04:32:27,0.1100166666668277,6.601000000009663,4.19995,0.22732,8.93848,4e-05,2.805555555823957e-05,3.677196666721446e-05,1.0,7
2018-11-14 04:32:28,0.125,7.5,4.19979,0.21965,9.04363,9e-05,2.8055555554197377e-05,9.226403888883816e-05,1.0,8
2018-11-14 04:32:29,0.1417333333333469,8.504000000000815,4.19995,0.21199,9.04363,0.00015,2.916666666553485e-05,0.0001526639,1.0,9
2018-11-14 04:32:30,0.1583333333333333,9.5,4.19995,0.20688,9.04363,0.00021,2.6666666664014983e-05,0.0002106839472221,1.0,10
2018-11-14 04:32:31,0.175050000000192,10.503000000011523,4.19995,0.20177,9.04363,0.00027,2.805555555823957e-05,0.0002673850305561,1.0,11
2018-11-14 04:32:32,0.1916666666666666,11.5,4.19979,0.19922,9.04363,0.00032,2.8055555554197377e-05,0.0003230561444443,1.0,12
2018-11-14 04:32:33,0.2083833333335254,12.503000000011523,4.19995,0.19411,9.04363,0.00038,2.8611111111887213e-05,0.0003775640138894,1.0,13
2018-11-14 04:32:34,0.2250166666667307,13.501000000003842,4.19995,0.189,9.04363,0.00043,2.833333333304229e-05,0.0004306624722224,1.0,14
2018-11-14 04:32:35,0.2432833333334808,14.597000000008848,4.19995,0.18645,9.04363,0.00048,2.722222222170482e-05,0.0004874291250004,1.0,15
2018-11-14 04:32:36,0.2583666666667947,15.502000000007683,4.19405,0.06641,9.04363,0.00051,2.8611111111887213e-05,0.0005160771750005,1.0,16
2018-11-14 04:32:37,0.2750666666666802,16.504000000000815,4.18498,-0.10727,9.04363,0.00051,2.916666666553485e-05,0.0005080564138896,0.9999941877889712,17
2018-11-14 04:32:38,0.2933666666668917,17.602000000013504,4.18717,-0.04597,9.14879,0.00048,2.8611111111887213e-05,0.0004856597861117,0.9999857246064195,18
2018-11-14 04:32:39,0.308350000000064,18.50100000000384,4.18498,-0.08939,9.14879,0.00047,2.8055555554197377e-05,0.0004677953666674,0.999978974043592,19
2018-11-14 04:32:40,0.3267000000002251,19.602000000013504,4.16981,-0.38056,9.14879,0.00039,2.8611111111887213e-05,0.0003903115861109,0.9999496946634032,20
2018-11-14 04:32:41,0.341700000000128,20.502000000007683,4.13576,-1.05995,9.14879,0.00019,2.833333333304229e-05,0.0001944918555555,0.9998756987858372,21
2018-11-14 04:32:42,0.3583666666667947,21.502000000007683,4.09969,-1.76232,9.14879,-0.0002,2.8055555554197377e-05,-0.0002026984083336,0.9997256095070206,22
2018-11-14 04:32:43,0.3750333333334614,22.502000000007683,4.06294,-2.49024,9.14879,-0.0008,2.8055555554197377e-05,-0.000799105430556,0.9995002406901466,23
2018-11-14 04:32:44,0.3917333333333469,23.50400000000081,4.04322,-2.82993,9.14879,-0.00154,2.8611111107845012e-05,-0.0015423708083289,0.9992193773995236,24
2018-11-14 04:32:45,0.4083666666667947,24.502000000007683,4.07322,-2.0305,9.14879,-0.00221,2.8611111111887213e-05,-0.0022112490944457,0.9989666233199138,25
2018-11-14 04:32:46,0.4250500000001921,25.503000000011525,4.10474,-1.30514,9.14879,-0.00267,2.833333333304229e-05,-0.0026674085138906,0.9987942509218104,26
2018-11-14 04:32:47,0.441700000000128,26.502000000007683,4.09159,-1.61163,9.14879,-0.00307,2.833333333304229e-05,-0.0030739136694447,0.99864064175467,27
2018-11-14 04:32:48,0.4583333333333333,27.5,4.07963,-1.8415,9.14879,-0.00356,2.833333333304229e-05,-0.0035541618222187,0.998459166765336,28
2018-11-14 04:32:49,0.4750333333334613,28.502000000007683,4.06631,-2.09946,9.14879,-0.0041,2.8055555554197377e-05,-0.0041042007611113,0.9982513194056069,29
2018-11-14 04:32:50,0.4916666666666666,29.5,4.06412,-2.0918,9.14879,-0.00469,2.6666666664014983e-05,-0.0046848029388847,0.998031922884433,30
2018-11-14 04:32:51,0.5100333333335584,30.602000000013504,4.01591,-3.16962,9.14879,-0.00553,2.8333333337084492e-05,-0.0055294001972294,0.9977127685523146,31
2018-11-14 04:32:52,0.525,31.5,4.02232,-2.91677,9.04363,-0.00628,2.6944444442859904e-05,-0.0062842070833291,0.9974275439849468,32
2018-11-14 04:32:53,0.5417166666668588,32.503000000011525,4.04945,-2.21184,9.04363,-0.00699,2.8611111111887213e-05,-0.0069936319027822,0.9971594682811676,33
